species,family,namephylo,namephylo1,status,community,lifehistory,growthform,native,rangeedge,specialization,Nfix,C34,raritycategory,rarity
Aureolaria virginica,Scrophulariaceae,Scrophulariaceae/Aureolaria/Aureolaria_virginica,Aureolaria_virginica,1,prairie,perennial,forb,native,1,3,not,C3,rare,0.204819277
Baptisia lactea,Fabaceae,Fabaceae/Baptisia/Baptisia_alba,Baptisia_alba,1,prairie,perennial,forb,native,1,3,N-fix,C3,rare,0.156626506
Baptisia leocophaea,Fabaceae,Leguminosae/Baptisia/Baptisia_bracteata,Baptisia_bracteata,0,prairie,perennial,forb,native,1,2,N-fix,C3,rare,0.012048193
Baptisia tinctoria,Fabaceae,Fabaceae/Baptisia/Baptisia_tinctoria,Baptisia_tinctoria,1,prairie,perennial,forb,native,0,2,N-fix,C3,rare,0.144578313
Besseya bullii,Scrophulariaceae,Scrophulariaceae/Besseya/Besseya_bullii,Besseya_bullii,1,prairie,perennial,forb,native,1,1,not,C3,rare,0.096385542
Blephilia ciliata,Lamiaceae,Lamiaceae/Blephilia/Blephilia_ciliata,Blephilia_ciliata,1,prairie,perennial,forb,native,0,1,not,C3,rare,0.180722892
Bouteloua curtipendula,Poaceae,Poaceae/Bouteloua/Bouteloua_curtipendula,Bouteloua_curtipendula,1,prairie,perennial,graminoid,native,0,1,not,C4,rare,0.108433735
Bromus kalmii,Poaceae,Gramineae/Bromus/Bromus_kalmii,Bromus_kalmii,1,prairie,perennial,graminoid,native,0,2,not,C3,occassional,0.337349398
Buchnera americana,Scrophulariaceae,Scrophulariaceae/Buchnera/Buchnera_americana,Buchnera_americana,0,prairie,annual/perennial,forb,native,1,1,not,C3,rare,0.024096386
Bulbostylis capillaris,Cyperaceae,Cyperaceae/Bulbostylis/Bulbostylis_capillaris,Bulbostylis_capillaris,1,prairie,annual/perennial,graminoid,native,0,2,not,C4,rare,0.192771084
Carex bicknellii,Cyperaceae,Cyperaceae/Carex/Carex_bicknellii,Carex_bicknellii,1,prairie,perennial,graminoid,native,0,3,not,C3,rare,0.108433735
Carex muehlenbergii,Cyperaceae,Cyperaceae/Carex/Carex_muehlenbergii,Carex_muehlenbergii,1,prairie,perennial,graminoid,native,0,1,not,C3,occassional,0.421686747
Ceanothus americanus,Rhamnaceae,Rhamnaceae/Ceanothus/Ceanothus_americanus,Ceanothus_americanus,1,prairie,perennial,woody,native,0,4,N-fix,C3,occassional,0.590361446
Cirsium discolor,Asteraceae,Asteraceae/Cirsium/Cirsium_discolor,Cirsium_discolor,1,prairie,perennial,forb,native,0,5,not,C3,occassional,0.265060241
Cirsium hillii,Asteraceae,Asteraceae/Cirsium/Cirsium_hillii,Cirsium_hillii,1,prairie,perennial,forb,native,0,1,not,C3,occassional,0.277108434
Comandra umbellata,Santalaceae,Santalaceae/Comandra/Comandra_umbellata,Comandra_umbellata,1,prairie,perennial,forb,native,0,2,not,C3,common,0.903614458
Coreopsis lanceolata,Asteraceae,Asteraceae/Coreopsis/Coreopsis_lanceolata,Coreopsis_lanceolata,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.361445783
Coreopsis palmata,Asteraceae,Asteraceae/Coreopsis/Coreopsis_palmata,Coreopsis_palmata,1,prairie,perennial,forb,native,1,3,not,C3,rare,0.036144578
Coreopsis tripteris,Asteraceae,Asteraceae/Coreopsis/Coreopsis_tripteris,Coreopsis_tripteris,1,prairie,perennial,forb,native,0,5,not,C3,rare,0.180722892
Corylus americana,Betulaceae,Betulaceae/Corylus/Corylus_americana,Corylus_americana,1,prairie,perennial,woody,native,0,3,not,C3,occassional,0.373493976
Cyperus schweinitzii,Cyperaceae,Cyperaceae/Cyperus/Cyperus_schweinitzii,Cyperus_schweinitzii,1,prairie,perennial,graminoid,native,0,1,not,C4,rare,0.204819277
Danthonia spicata,Poaceae,Poaceae/Danthonia/Danthonia_spicata,Danthonia_spicata,1,prairie,perennial,graminoid,native,0,2,not,C3,common,0.879518072
Digitaria filiformis,Poaceae,Poaceae/Digitaria/Digitaria_filiformis,Digitaria_filiformis,1,prairie,annual/perennial,graminoid,native,1,1,not,C4,rare,0.012048193
Draba reptans,Brassicaceae,Cruciferae/Draba/Draba_reptans,Draba_reptans,0,prairie,annual,forb,native,0,1,not,C3,rare,0.072289157
Elymus canadensis,Poaceae,Poaceae/Elymus/Elymus_canadensis,Elymus_canadensis,1,prairie,perennial,graminoid,native,0,2,not,C3,occassional,0.722891566
Eryngium yuccifolium,Apiaceae,Apiaceae/Eryngium/Eryngium_yuccifolium,Eryngium_yuccifolium,1,prairie,perennial,forb,native,1,5,not,C3,rare,0.084337349
Euphorbia corollata,Euphorbiaceae,Euphorbiaceae/Euphorbia/Euphorbia_corollata,Euphorbia_corollata,1,prairie,perennial,forb,native,0,4,not,C3,occassional,0.542168675
Fragaria virginiana,Rosaceae,Rosaceae/Fragaria/Fragaria_virginiana,Fragaria_virginiana,1,prairie,perennial,forb,native,0,5,not,C3,common,0.987951807
Frasera caroliniensis,Gentianaceae,Gentianaceae/Frasera/Frasera_caroliniensis,Frasera_caroliniensis,1,prairie,perennial,forb,native,0,3,not,C3,rare,0.156626506
Galium boreale,Rubiaceae,Rubiaceae/Galium/Galium_boreale,Galium_boreale,1,prairie,perennial,forb,native,0,5,not,C3,occassional,0.638554217
Galium pilosum,Rubiaceae,Rubiaceae/Galium/Galium_pilosum,Galium_pilosum,1,prairie,perennial,forb,native,1,1,not,C3,occassional,0.43373494
Gaura biennis,Onograceae,Onagraceae/Gaura/Gaura_biennis,Gaura_biennis,1,prairie,biennial,forb,native,0,2,not,C3,rare,0.060240964
Gentiana alba,Gentianaceae,Gentianaceae/Gentiana/Gentiana_alba,Gentiana_alba,0,prairie,perennial,forb,native,0,2,not,C3,rare,0.084337349
Gnaphalium obtusifolium,Asteraceae,Asteraceae/Pseudognaphalium/Pseudognaphalium_obtusifolium,Pseudognaphalium_obtusifolium,1,prairie,annual/biennial,forb,native,0,2,not,C3,occassional,0.602409639
Grindelia squarrosa,Asteraceae,Asteraceae/Grindelia/Grindelia_squarrosa,Grindelia_squarrosa,0,prairie,annual/perennial,forb,native,0,2,not,C3,occassional,0.469879518
Helianthemum bicknellii,Cistaceae,Cistaceae/Helianthemum/Helianthemum_bicknellii,Helianthemum_bicknellii,1,prairie,perennial,forb,native,0,1,not,C3,rare,0.21686747
Helianthemum canadense,Cistaceae,Cistaceae/Helianthemum/Helianthemum_canadense,Helianthemum_canadense,1,prairie,perennial,forb,native,0,4,not,C3,occassional,0.65060241
Helianthus occidentalis,Asteraceae,Asteraceae/Helianthus/Helianthus_occidentalis,Helianthus_occidentalis,1,prairie,perennial,forb,native,1,2,not,C3,occassional,0.457831325
Helianthus pauciflorus,Asteraceae,Asteraceae/Helianthus/Helianthus_pauciflorus,Helianthus_pauciflorus,1,prairie,perennial,forb,native,0,1,not,C3,rare,0.240963855
Helianthus strumosus,Asteraceae,Asteraceae/Helianthus/Helianthus_strumosus,Helianthus_strumosus,1,prairie,perennial,forb,native,0,4,not,C3,occassional,0.289156627
Hesperostipa spartea,Poaceae,Poaceae/Hesperostipa/Hesperostipa_spartea,Hesperostipa_spartea,1,prairie,perennial,graminoid,native,0,3,not,C3,occassional,0.253012048
Hypericum prolificum,Guttiferae,Clusiaceae/Hypericum/Hypericum_prolificum,Hypericum_prolificum,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.373493976
Ipomoea pandurata,Convolvulaceae,Convolvulaceae/Ipomoea/Ipomoea_pandurata,Ipomoea_pandurata,1,prairie,perennial,vine,native,0,2,not,C3,rare,0.048192771
Juncus tenuis,Juncaceae,Juncaceae/Juncus/Juncus_tenuis,Juncus_tenuis,1,prairie,perennial,graminoid,native,0,2,not,C3,occassional,0.734939759
Krigia biflora,Asteraceae,Asteraceae/Krigia/Krigia_biflora,Krigia_biflora,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.469879518
Krigia virginica,Asteraceae,Asteraceae/Krigia/Krigia_virginica,Krigia_virginica,1,prairie,annual,forb,native,1,2,not,C3,occassional,0.626506024
Kuhnia eupatorioides,Asteraceae,Asteraceae/Matricaria/Matricaria_discoidea,Matricaria_discoidea,1,prairie,perennial,forb,native,1,3,not,C3,rare,0.144578313
Lathyrus venosus,Fabaceae,Fabaceae/Lathyrus/Lathyrus_venosus,Lathyrus_venosus,1,prairie,perennial,vine,native,0,4,N-fix,C3,occassional,0.289156627
Lechea minor,Cistaceae,Cistaceae/Lechea/Lechea_minor,Lechea_minor,0,prairie,perennial,forb,native,1,2,not,C3,rare,0.048192771
Lechea villosa,Cistaceae,Cistaceae/Lechea/Lechea_villosa,Lechea_villosa,1,prairie,perennial,forb,native,0,4,not,C3,occassional,0.289156627
Lespedeza capitata,Fabaceae,Fabaceae/Lespedeza/Lespedeza_capitata,Lespedeza_capitata,1,prairie,perennial,forb,native,0,3,N-fix,C3,occassional,0.385542169
Lespedeza hirta,Fabaceae,Fabaceae/Lespedeza/Lespedeza_hirta,Lespedeza_hirta,1,prairie,perennial,forb,native,1,3,N-fix,C3,occassional,0.421686747
Lespedeza intermedia,Fabaceae,Fabaceae/Lespedeza/Lespedeza_violacea,Lespedeza_violacea,1,prairie,perennial,forb,native,0,3,N-fix,C3,rare,0.180722892
Lespedeza virginica,Fabaceae,Fabaceae/Lespedeza/Lespedeza_virginica,Lespedeza_virginica,1,prairie,perennial,forb,native,0,1,N-fix,C3,rare,0.204819277
Liatris aspera,Asteraceae,Asteraceae/Liatris/Liatris_aspera,Liatris_aspera,1,prairie,perennial,forb,native,0,4,not,C3,occassional,0.43373494
Liatris cylindracea,Asteraceae,Asteraceae/Liatris/Liatris_cylindracea,Liatris_cylindracea,1,prairie,perennial,forb,native,0,1,not,C3,occassional,0.373493976
Liatris punctata,Asteraceae,Compositae/Liatris/Liatris_punctata,Liatris_punctata,0,prairie,perennial,forb,native,1,1,not,C3,rare,0.012048193
Liatris scariosa,Asteraceae,Asteraceae/Liatris/Liatris_scariosa,Liatris_scariosa,1,prairie,perennial,forb,native,1,3,not,C3,occassional,0.445783133
Linaria canadensis,Scrophulariaceae,Scrophulariaceae/Linaria/Linaria_canadensis,Linaria_canadensis,1,prairie,annual/biennial,forb,native,0,3,not,C3,occassional,0.469879518
Linum sulcatum,Linaceae,Linaceae/Linum/Linum_sulcatum,Linum_sulcatum,0,prairie,annual,forb,native,0,1,not,C3,rare,0.108433735
Lithospermum canescens,Boraginaceae,Boraginaceae/Lithospermum/Lithospermum_canescens,Lithospermum_canescens,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.385542169
Lithospermum caroliniense,Boraginaceae,Boraginaceae/Lithospermum/Lithospermum_caroliniense,Lithospermum_caroliniense,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.554216867
Lupinus perennis,Fabaceae,Fabaceae/Lupinus/Lupinus_perennis,Lupinus_perennis,1,prairie,perennial,forb,native,0,3,N-fix,C3,occassional,0.469879518
Maclura pomifera,Moraceae,Moraceae/Maclura/Maclura_pomifera,Maclura_pomifera,1,prairie,perennial,woody,native,0,3,not,C3,rare,0.108433735
Monarda fistulosa,Labiatae,Lamiaceae/Monarda/Monarda_fistulosa,Monarda_fistulosa,1,prairie,perennial,forb,native,0,5,not,C3,common,0.891566265
Monarda punctata,Labiatae,Lamiaceae/Monarda/Monarda_punctata,Monarda_punctata,1,prairie,annual/perennial,forb,native,0,2,not,C3,occassional,0.530120482
Muhlenbergia frondosa,Poaceae,Poaceae/Muhlenbergia/Muhlenbergia_frondosa,Muhlenbergia_frondosa,1,prairie,perennial,graminoid,native,0,2,not,C4,occassional,0.265060241
Oenothera clelandii,Onograceae,Onagraceae/Oenothera/Oenothera_clelandii,Oenothera_clelandii,1,prairie,perennial,forb,native,0,1,not,C3,occassional,0.301204819
Oenothera laciniata,Onograceae,Onagraceae/Oenothera/Oenothera_laciniata,Oenothera_laciniata,1,prairie,annual/perennial,forb,native,0,3,not,C3,rare,0.228915663
Opuntia humifusa,Cactaceae,Cactaceae/Opuntia/Opuntia_humifusa,Opuntia_humifusa,1,prairie,perennial,woody,native,0,1,not,C3,rare,0.120481928
Oxalis stricta,Oxalidaceae,Oxalidaceae/Oxalis/Oxalis_stricta,Oxalis_stricta,1,prairie,perennial,forb,non-native,0,3,not,C3,occassional,0.734939759
Panicum depauperatum,Poaceae,Poaceae/Dichanthelium/Dichanthelium_depauperatum,Dichanthelium_depauperatum,1,prairie,perennial,graminoid,native,0,2,not,C4,occassional,0.590361446
Panicum leibergii,Poaceae,Poaceae/Dichanthelium/Dichanthelium_leibergii,Dichanthelium_leibergii,1,prairie,perennial,graminoid,native,0,2,not,C4,rare,0.048192771
Panicum linearifolium,Poaceae,Poaceae/Dichanthelium/Dichanthelium_linearifolium,Dichanthelium_linearifolium,1,prairie,perennial,graminoid,native,0,2,not,C4,occassional,0.445783133
Panicum philadelphicum,Poaceae,Poaceae/Panicum/Panicum_philadelphicum,Panicum_philadelphicum,1,prairie,annual,graminoid,native,0,5,not,C4,rare,0.012048193
Panicum virgatum,Poaceae,Poaceae/Dichanthelium/Dichanthelium_virgatum,Dichanthelium_virgatum,1,prairie,perennial,graminoid,native,0,5,not,C4,occassional,0.56626506
Pedicularis canadensis,Scrophulariaceae,Scrophulariaceae/Pedicularis/Pedicularis_canadensis,Pedicularis_canadensis,1,prairie,perennial,forb,native,0,4,not,C3,common,0.855421687
Penstemon hirsutus,Scrophulariaceae,Scrophulariaceae/Penstemon/Penstemon_hirsutus,Penstemon_hirsutus,0,prairie,perennial,forb,native,0,1,not,C3,occassional,0.43373494
Penstemon pallidus,Scrophulariaceae,Scrophulariaceae/Penstemon/Penstemon_pallidus,Penstemon_pallidus,0,prairie,perennial,forb,native,0,3,not,C3,occassional,0.43373494
Phlox pilosa,Polemoniaceae,Polemoniaceae/Phlox/Phlox_pilosa,Phlox_pilosa,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.277108434
Physalis virginiana,Solanaceae,Solanaceae/Physalis/Physalis_virginiana,Physalis_virginiana,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.34939759
Polygala sanguinea,Polygalaceae,Polygalaceae/Polygala/Polygala_sanguinea,Polygala_sanguinea,1,prairie,annual,forb,native,0,2,not,C3,occassional,0.421686747
Polygala verticillata,Polygalaceae,Polygalaceae/Polygala/Polygala_verticillata,Polygala_verticillata,1,prairie,annual,forb,native,0,3,not,C3,occassional,0.265060241
Potentilla arguta,Rosaceae,Rosaceae/Potentilla/Potentilla_arguta,Potentilla_arguta,0,prairie,perennial,forb,native,0,1,not,C3,occassional,0.493975904
Potentilla recta,Rosaceae,Rosaceae/Potentilla/Potentilla_recta,Potentilla_recta,1,prairie,perennial,forb,non-native,0,3,not,C3,common,0.891566265
Prunus pumila,Rosaceae,Rosaceae/Prunus/Prunus_pumila,Prunus_pumila,1,prairie,perennial,woody,native,0,1,not,C3,occassional,0.710843373
Prunus serotina,Rosaceae,Rosaceae/Prunus/Prunus_serotina,Prunus_serotina,1,prairie,perennial,woody,native,0,2,not,C3,common,0.879518072
Pycnanthemum tenuifolium,Labiatae,Labiatae/Pycnanthemum/Pycnanthemum_tenuifolium,Pycnanthemum_tenuifolium,0,prairie,perennial,forb,native,0,1,not,C3,rare,0.228915663
Quercus coccinea,Fagaceae,Fagaceae/Quercus/Quercus_coccinea,Quercus_coccinea,1,prairie,perennial,woody,native,1,2,not,C3,occassional,0.506024096
Quercus macrocarpa,Fagaceae,Fagaceae/Quercus/Quercus_macrocarpa,Quercus_macrocarpa,1,prairie,perennial,woody,native,0,3,not,C3,occassional,0.590361446
Quercus prinoides,Fagaceae,Fagaceae/Quercus/Quercus_prinoides,Quercus_prinoides,1,prairie,perennial,woody,native,0,1,not,C3,rare,0.13253012
Quercus velutina,Fagaceae,Fagaceae/Quercus/Quercus_velutina,Quercus_velutina,1,prairie,perennial,woody,native,0,3,not,C3,occassional,0.506024096
Ranunculus fascicularis,Ranunculaceae,Ranunculaceae/Ranunculus/Ranunculus_fascicularis,Ranunculus_fascicularis,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.325301205
Ratibida columnifera,Asteraceae,Asteraceae/Ratibida/Ratibida_columnifera,Ratibida_columnifera,0,prairie,perennial,forb,native,0,1,not,C3,rare,0.036144578
Ratibida pinnata,Asteraceae,Asteraceae/Ratibida/Ratibida_pinnata,Ratibida_pinnata,1,prairie,perennial,forb,native,0,5,not,C3,rare,0.240963855
Rhus aromatica,Asteraceae,Anacardiaceae/Rhus/Rhus_aromatica,Rhus_aromatica,1,prairie,perennial,woody,native,0,1,not,C3,rare,0.192771084
Rosa cinnamomea,Anacardiaceae,Rosaceae/Rosa/Rosa_cinnamomea,Rosa_cinnamomea,1,prairie,perennial,woody,non-native,1,1,not,C3,rare,0.096385542
Rosa setigera,Rosaceae,Rosaceae/Rosa/Rosa_setigera,Rosa_setigera,0,prairie,perennial,vine,native,1,3,not,C3,rare,0.108433735
Rubus pensilvanicus,Rosaceae,Rosaceae/Rubus/Rubus_pensilvanicus,Rubus_pensilvanicus,1,prairie,perennial,woody,native,0,4,not,C3,occassional,0.361445783
Rubus strigosus,Rosaceae,Rosaceae/Rubus/Rubus_strigosus,Rubus_strigosus,1,prairie,perennial,woody,native,0,3,not,C3,common,0.855421687
Rudbeckia hirta,Asteraceae,Asteraceae/Rudbeckia/Rudbeckia_hirta,Rudbeckia_hirta,1,prairie,annual/perennial,forb,native,0,5,not,C3,common,0.963855422
Salix humilis,Salicaceae,Salicaceae/Salix/Salix_humilis,Salix_humilis,1,prairie,perennial,woody,native,0,1,not,C3,common,0.795180723
Sassafras albidum,Lauraceae,Lauraceae/Sassafras/Sassafras_albidum,Sassafras_albidum,1,prairie,perennial,woody,native,0,1,not,C3,occassional,0.530120482
Scrophularia lanceolata,Scrophulariaceae,Scrophulariaceae/Scrophularia/Scrophularia_lanceolata,Scrophularia_lanceolata,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.614457831
Selaginella rupestris,,,,0,prairie,perennial,forb,native,0,1,not,C3,occassional,0.385542169
Silene antirrhina,Caryophyllaceae,Caryophyllaceae/Silene/Silene_antirrhina,Silene_antirrhina,1,prairie,annual,forb,native,0,3,not,C3,occassional,0.686746988
Silene dichotoma,Caryophyllaceae,Caryophyllaceae/Silene/Silene_dichotoma,Silene_dichotoma,1,prairie,annual,forb,non-native,0,3,not,C3,occassional,0.265060241
Silene stellata,Caryophyllaceae,Caryophyllaceae/Silene/Silene_stellata,Silene_stellata,1,prairie,perennial,forb,native,1,1,not,C3,rare,0.048192771
Silphium integrifolium,Asteraceae,Asteraceae/Silphium/Silphium_integrifolium,Silphium_integrifolium,1,prairie,perennial,forb,native,1,5,not,C3,rare,0.048192771
Silphium laciniatum,Asteraceae,Compositae/Silphium/Silphium_laciniatum,Silphium_laciniatum,0,prairie,perennial,forb,native,0,1,not,C3,rare,0.108433735
Silphium terebinthinaceum,Asteraceae,Compositae/Silphium/Silphium_terebinthinaceum,Silphium_terebinthinaceum,0,prairie,perennial,forb,native,0,1,not,C3,occassional,0.253012048
Solidago altissima,Asteraceae,Asteraceae/Solidago/Solidago_altissima,Solidago_altissima,1,prairie,perennial,forb,native,0,4,not,C3,common,0.759036145
Solidago canadensis,Asteraceae,Asteraceae/Solidago/Solidago_canadensis,Solidago_canadensis,1,prairie,perennial,forb,native,0,4,not,C3,occassional,0.734939759
Solidago juncea,Asteraceae,Asteraceae/Solidago/Solidago_juncea,Solidago_juncea,1,prairie,perennial,forb,native,0,4,not,C3,common,0.795180723
Solidago missouriensis,Asteraceae,Asteraceae/Solidago/Solidago_missouriensis,Solidago_missouriensis,1,prairie,perennial,forb,native,0,1,not,C3,rare,0.036144578
Solidago nemoralis,Asteraceae,Asteraceae/Solidago/Solidago_nemoralis,Solidago_nemoralis,1,prairie,perennial,forb,native,0,4,not,C3,common,0.831325301
Solidago rigida,Asteraceae,Asteraceae/Solidago/Solidago_rigida,Solidago_rigida,1,prairie,perennial,forb,native,0,5,not,C3,occassional,0.277108434
Solidago speciosa,Asteraceae,Asteraceae/Solidago/Solidago_speciosa,Solidago_speciosa,1,prairie,perennial,forb,native,0,5,not,C3,occassional,0.481927711
Sorghastrum nutans,Poaceae,Poaceae/Sorghastrum/Sorghastrum_nutans,Sorghastrum_nutans,1,prairie,perennial,graminoid,native,0,4,not,C4,occassional,0.481927711
Spiranthes lacera,Orchidaceae,Orchidaceae/Spiranthes/Spiranthes_lacera,Spiranthes_lacera,0,prairie,perennial,forb,native,0,1,not,C3,occassional,0.457831325
Sporobolus heterolepis,Poaceae,Poaceae/Sporobolus/Sporobolus_heterolepis,Sporobolus_heterolepis,1,prairie,perennial,graminoid,native,0,1,not,C4,rare,0.13253012
Stellaria media,Caryophyllaceae,Caryophyllaceae/Stellaria/Stellaria_media,Stellaria_media,1,prairie,annual/perennial,forb,non-native,0,2,not,C3,occassional,0.530120482
Tephrosia virginiana,Fabaceae,Fabaceae/Tephrosia/Tephrosia_virginiana,Tephrosia_virginiana,1,prairie,perennial,forb,native,0,2,N-fix,C3,rare,0.21686747
Thaspium trifoliatum,Umbelliferae,Umbelliferae/Thaspium/Thaspium_trifoliatum,Thaspium_trifoliatum,0,prairie,perennial,forb,native,0,2,not,C3,rare,0.096385542
Tradescantia ohiensis,Commelinaceae,Commelinaceae/Tradescantia/Tradescantia_ohiensis,Tradescantia_ohiensis,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.301204819
Trichostema dichotomum,Labiatae,Labiatae/Trichostema/Trichostema_dichotomum,Trichostema_dichotomum,0,prairie,annual,forb,native,1,1,not,C3,rare,0.048192771
Triodanis perfoliata,Campanulaceae,Campanulaceae/Triodanis/Triodanis_perfoliata,Triodanis_perfoliata,1,prairie,annual,forb,native,0,2,not,C3,occassional,0.313253012
Veronicastrum virginicum,Scrophulariaceae,Scrophulariaceae/Veronicastrum/Veronicastrum_virginicum,Veronicastrum_virginicum,1,prairie,perennial,forb,native,0,5,not,C3,occassional,0.445783133
Viola pedata,Violaceae,Violaceae/Viola/Viola_pedata,Viola_pedata,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.43373494
Viola pedatifida,Violaceae,Violaceae/Viola/Viola_pedatifida,Viola_pedatifida,1,prairie,perennial,forb,native,0,2,not,C3,rare,0.060240964
Viola pubescens,Violaceae,Violaceae/Viola/Viola_pubescens,Viola_pubescens,1,prairie,perennial,forb,native,0,3,not,C3,common,1
Viola sagittata,Violaceae,Violaceae/Viola/Viola_sagittata,Viola_sagittata,1,prairie,perennial,forb,native,0,5,not,C3,occassional,0.457831325
Yucca filamentosa,Liliaceae,Liliaceae/Yucca/Yucca_filamentosa,Yucca_filamentosa,1,prairie,perennial,forb,native,1,3,not,C3,rare,0.012048193
Zigadenus glaucus,Liliaceae,Liliaceae/Zigadenus/Zigadenus_glaucus,Zigadenus_glaucus,1,prairie,perennial,forb,native,1,3,not,C3,occassional,0.409638554
Abies balsamea,Pinaceae,,,1,wetland,perennial,woody,non-native,0,1,not,C3,occassional,0.578313253
Acalypha rhomboidea,Euphorbiaceae,,,1,wetland,annual,forb,native,0,2,not,C3,occassional,0.325301205
Acer negundo,Aceraceae,,,1,wetland,perennial,woody,native,0,1,not,C3,occassional,0.578313253
Acer rubrum,Aceraceae,,,1,wetland,perennial,woody,native,0,4,not,C3,common,0.891566265
Acer saccharinum,Aceraceae,,,1,wetland,perennial,woody,native,0,2,not,C3,occassional,0.56626506
Actaea rubra,Ranunculaceae,,,1,wetland,perennial,forb,native,0,2,not,C3,common,0.855421687
Agalinis gattingeri,Scrophulariaceae,,,0,wetland,annual,forb,native,0,2,not,C3,rare,0.048192771
Agalinis purpurea,Scrophulariaceae,,,1,wetland,annual,forb,native,0,2,not,C3,occassional,0.602409639
Agrimonia gryposepala,Rosaceae,,,1,wetland,perennial,forb,native,0,3,not,C3,common,0.879518072
Agrimonia parviflora,Rosaceae,,,1,wetland,perennial,forb,native,0,3,not,C3,rare,0.180722892
Agrostis stolonifera,Poaceae,,,1,wetland,perennial,graminoid,non-native,0,1,not,C3,occassional,0.325301205
Aletris farinosa,Liliaceae,,,1,wetland,perennial,forb,native,0,2,not,C3,occassional,0.289156627
Alliaria petiolata,Brassicaceae,,,1,wetland,annual/biennial,forb,non-native,0,5,not,C3,rare,0.168674699
Allium cernuum,Liliaceae,,,1,wetland,perennial,forb,native,0,1,not,C3,rare,0.13253012
Alnus rugosa,Betulaceae,,,1,wetland,perennial,woody,native,0,3,N-fix,C3,common,0.855421687
Andromeda glaucophylla,Ericaceae,,,1,wetland,perennial,woody,native,0,1,not,C3,common,0.819277108
Andropogon virginicus,Poaceae,,,1,wetland,perennial,graminoid,native,0,1,not,C4,rare,0.240963855
Anemone canadensis,Ranunculaceae,,,1,wetland,perennial,forb,native,0,3,not,C3,common,0.903614458
Anemone quinquefolia,Ranunculaceae,,,1,wetland,perennial,forb,native,0,4,not,C3,common,0.975903614
Angelica atropurpurea,Umbelliferae,,,1,wetland,perennial,forb,native,0,3,not,C3,occassional,0.361445783
Apios americana,Fabaceae,,,1,wetland,perennial,vine,native,0,3,N-fix,C3,occassional,0.493975904
Apocynum cannabinum,Apocynaceae,,,1,wetland,perennial,forb,native,0,4,not,C3,occassional,0.626506024
Aquilegia canadensis,Ranunculaceae,,,1,wetland,perennial,forb,native,0,2,not,C3,common,0.975903614
Arabis glabra,Brassicaceae,,,1,wetland,annual/perennial,forb,native,0,2,not,C3,occassional,0.710843373
Aralia hispida,Araliaceae,,,1,wetland,perennial,forb,native,0,2,not,C3,occassional,0.578313253
Aralia racemosa,Araliaceae,,,1,wetland,perennial,forb,native,0,3,not,C3,occassional,0.626506024
Arethusa bulbosa,Orchidaceae,,,1,wetland,perennial,forb,native,0,1,not,C3,occassional,0.590361446
Arisaema dracontium,Araceae,,,1,wetland,perennial,forb,native,0,3,not,C3,rare,0.240963855
Armoracia rusticana,Brassicaceae,,,1,wetland,perennial,forb,non-native,0,1,not,C3,occassional,0.277108434
Arnoglossum plantagineum,Asteraceae,,,1,wetland,perennial,forb,native,0,1,not,C3,rare,0.156626506
Asarum canadense,Aristolochiaceae,,,1,wetland,perennial,forb,native,0,2,not,C3,occassional,0.674698795
Asclepias incarnata,Asclepiadaceae,,,1,wetland,perennial,forb,native,0,3,not,C3,common,0.915662651
Asimina triloba,Annonaceae,,,1,wetland,perennial,woody,native,0,3,not,C3,occassional,0.253012048
Aster borealis ,Asteraceae,,,1,wetland,perennial,forb,native,0,2,not,C3,occassional,0.373493976
Aster cordifolius,Asteraceae,,,1,wetland,perennial,forb,native,0,3,not,C3,common,0.78313253
Aster novae-angliae,Asteraceae,,,1,wetland,perennial,forb,native,0,5,not,C3,occassional,0.530120482
Aster ontarionis,Asteraceae,,,1,wetland,perennial,forb,native,0,1,not,C3,occassional,0.313253012
Aster puniceus,Asteraceae,,,1,wetland,perennial,forb,native,0,5,not,C3,common,0.819277108
Aster umbellatus,Asteraceae,,,1,wetland,perennial,forb,native,0,4,not,C3,occassional,0.710843373
Astragalus canadensis,Fabaceae,,,1,wetland,perennial,forb,native,0,1,N-fix,C3,rare,0.192771084
Athyrium filix-femina,Dryopteridaceae,,,1,wetland,perennial,fern,native,0,4,not,C3,common,0.855421687
Barbarea vulgaris,Brassicaceae,,,1,wetland,biennial,forb,non-native,0,1,not,C3,common,0.819277108
Bartonia virginica,Gentianaceae,,,1,wetland,annual,forb,native,0,3,not,C3,occassional,0.457831325
Berula erecta,Umbelliferae,,,1,wetland,perennial,forb,native,1,1,not,C3,rare,0.144578313
Betula alleghaniensis,Betulaceae,,,1,wetland,perennial,woody,native,0,2,not,C3,common,0.807228916
Betula papyrifera,Betulaceae,,,1,wetland,perennial,woody,native,0,2,not,C3,common,0.795180723
